pair,stock_a,stock_b,correlation,window_id,train_start,train_end,test_start,test_end
MSFT-ORCL,MSFT,ORCL,0.492894,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
MCD-KO,MCD,KO,0.406134,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.349394,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.3234,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.263877,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.247004,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.239882,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.146792,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.144494,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.128446,W01,1996-01-01,1996-12-31,1997-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.45013,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
MCD-KO,MCD,KO,0.399754,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.374149,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.302115,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.240118,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.221533,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.21176,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.175244,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.143107,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.093339,W02,1996-01-01,1997-12-31,1998-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.451699,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
MCD-KO,MCD,KO,0.399797,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.347659,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.30664,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.256801,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.250507,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.236333,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.196501,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.168584,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.139735,W03,1996-01-01,1998-12-31,1999-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.432916,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
MCD-KO,MCD,KO,0.314533,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.27444,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.271758,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.270892,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.252003,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.20268,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.154148,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.146768,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.112732,W04,1996-01-01,1999-12-31,2000-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.382329,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
MCD-KO,MCD,KO,0.307558,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.280105,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.275148,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.165583,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.163496,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.141764,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.11005,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.09114,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.06043,W05,1996-01-01,2000-12-31,2001-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.428047,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.326181,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.323337,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-KO,MCD,KO,0.281724,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.164377,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.146196,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.125668,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.107372,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.095641,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.065899,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.460482,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.349919,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.333132,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-KO,MCD,KO,0.271558,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.188087,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.166707,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.138168,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.114114,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.110968,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
